Type,Generation,Group,Result,Count,Death,Kill
A,1,A,Win,1,2,4
A,1,A,Win,2,1,4
A,1,A,Win,3,2,4
A,1,A,Lose,4,4,1
A,1,A,Win,5,2,4
A,1,A,Win,6,2,4
A,1,A,Lose,7,4,0
A,1,A,Lose,8,4,2
A,1,A,Win,9,2,4
A,1,A,Win,10,0,4
A,1,B,Lose,1,4,0
A,1,B,Lose,2,4,0
A,1,B,Lose,3,4,0
A,1,B,Lose,4,4,0
A,1,B,Lose,5,4,0
A,1,B,Lose,6,4,0
A,1,B,Lose,7,4,0
A,1,B,Lose,8,4,0
A,1,B,Lose,9,4,0
A,1,B,Lose,10,4,0
A,1,C,Lose,1,4,0
A,1,C,Win,2,3,4
A,1,C,Win,3,4,0
A,1,C,Lose,4,3,4
A,1,C,Win,5,4,0
A,1,C,Lose,6,4,0
A,1,C,Lose,7,4,0
A,1,C,Lose,8,4,0
A,1,C,Lose,9,4,0
A,1,C,Lose,10,4,1
A,1,D,Win,1,3,4
A,1,D,Win,2,0,4
A,1,D,Win,3,1,4
A,1,D,Win,4,1,4
A,1,D,Win,5,1,4
A,1,D,Win,6,2,4
A,1,D,Win,7,1,4
A,1,D,Win,8,2,4
A,1,D,Lose,9,4,3
A,1,D,Win,10,1,4
A,1,E,Lose,1,4,4
A,1,E,Lose,2,4,1
A,1,E,Win,3,2,4
A,1,E,Win,4,1,4
A,1,E,Win,5,1,4
A,1,E,Win,6,0,4
A,1,E,Lose,7,4,2
A,1,E,Win,8,1,4
A,1,E,Lose,9,4,1
A,1,E,Lose,10,4,2
A,2,A,Win,1,2,4
A,2,A,Lose,2,4,1
A,2,A,Lose,3,4,0
A,2,A,Lose,4,4,1
A,2,A,Win,5,3,4
A,2,A,Win,6,1,4
A,2,A,Win,7,2,4
A,2,A,Win,8,2,4
A,2,A,Lose,9,4,1
A,2,A,Lose,10,4,0
A,2,B,Win,1,3,4
A,2,B,Win,2,2,4
A,2,B,Win,3,1,4
A,2,B,Win,4,3,4
A,2,B,Lose,5,4,0
A,2,B,Lose,6,4,1
A,2,B,Lose,7,4,2
A,2,B,Win,8,1,4
A,2,B,Lose,9,4,0
A,2,B,Lose,10,4,2
B,1,A,Lose,1,4,0
B,1,A,Lose,2,4,0
B,1,A,Win,3,1,4
B,1,A,Lose,4,4,0
B,1,A,Lose,5,4,0
B,1,A,Lose,6,4,2
B,1,A,Lose,7,4,0
B,1,A,Win,8,2,4
B,1,A,Lose,9,4,0
B,1,A,Win,10,2,4
B,1,B,Lose,1,4,0
B,1,B,Lose,2,4,0
B,1,B,Lose,3,4,0
B,1,B,Lose,4,4,0
B,1,B,Lose,5,4,3
B,1,B,Lose,6,4,0
B,1,B,Lose,7,4,1
B,1,B,Lose,8,4,0
B,1,B,Lose,9,4,0
B,1,B,Lose,10,4,0
B,1,C,Lose,1,4,1
B,1,C,Win,2,2,4
B,1,C,Lose,3,4,1
B,1,C,Lose,4,4,0
B,1,C,Win,5,2,4
B,1,C,Win,6,3,4
B,1,C,Lose,7,4,0
B,1,C,Win,8,0,4
B,1,C,Lose,9,4,0
B,1,C,Lose,10,4,1
B,1,D,Win,1,2,4
B,1,D,Win,2,1,4
B,1,D,Win,3,1,4
B,1,D,Lose,4,4,0
B,1,D,Win,5,2,4
B,1,D,Lose,6,4,1
B,1,D,Win,7,2,4
B,1,D,Win,8,1,4
B,1,D,Win,9,2,4
B,1,D,Win,10,2,4
B,1,E,Lose,1,4,2
B,1,E,Lose,2,4,0
B,1,E,Lose,3,4,0
B,1,E,Win,4,2,4
B,1,E,Lose,5,4,2
B,1,E,Lose,6,4,0
B,1,E,Lose,7,4,1
B,1,E,Lose,8,4,0
B,1,E,Lose,9,4,1
B,1,E,Lose,10,4,0
B,2,A,Win,1,2,4
B,2,A,Lose,2,4,3
B,2,A,Lose,3,4,1
B,2,A,Lose,4,4,0
B,2,A,Lose,5,4,1
B,2,A,Lose,6,4,2
B,2,A,Lose,7,4,0
B,2,A,Lose,8,4,0
B,2,A,Win,9,1,4
B,2,A,Lose,10,4,1
B,2,B,Win,1,1,4
B,2,B,Lose,2,4,1
B,2,B,Lose,3,4,0
B,2,B,Lose,4,4,1
B,2,B,Lose,5,4,2
B,2,B,Lose,6,4,2
B,2,B,Win,7,0,4
B,2,B,Lose,8,4,0
B,2,B,Lose,9,4,1
B,2,B,Win,10,1,4
B,2,C,Win,1,1,4
B,2,C,Lose,2,4,0
B,2,C,Lose,3,4,0
B,2,C,Lose,4,4,2
B,2,C,Lose,5,4,1
B,2,C,Lose,6,4,1
B,2,C,Lose,7,4,0
B,2,C,Lose,8,4,1
B,2,C,Lose,9,4,0
B,2,C,Lose,10,4,1
B,2,D,Lose,1,4,1
B,2,D,Lose,2,4,0
B,2,D,Win,3,1,4
B,2,D,Lose,4,4,0
B,2,D,Win,5,2,4
B,2,D,Lose,6,4,0
B,2,D,Lose,7,4,1
B,2,D,Lose,8,4,0
B,2,D,Win,9,3,4
B,2,D,Win,10,2,4
C,1,A,Lose,1,4,1
C,1,A,Lose,2,4,1
C,1,A,Win,3,0,4
C,1,A,Win,4,1,4
